epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,14238.2,0.85633,0.41707,0.94409,0.68648,0.79049,0.73405,0.45559,1.30308,0.60084,1.0989,0.0047232,0.0015744,0.0047232,0.0015744,0.0047232,0.0015744,0.0047232,0.0015744
50,14522.8,0.85822,0.41582,0.94659,0.69516,0.78981,0.73886,0.46044,1.30294,0.60251,1.0995,0.0046341,0.0015447,0.0046341,0.0015447,0.0046341,0.0015447,0.0046341,0.0015447
51,14809.3,0.85235,0.41272,0.94431,0.69536,0.78981,0.73747,0.45929,1.30312,0.60162,1.10018,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515,0.004545,0.001515
52,15094.8,0.85231,0.41239,0.94351,0.69519,0.78981,0.73642,0.45899,1.30291,0.59996,1.09991,0.0044559,0.0014853,0.0044559,0.0014853,0.0044559,0.0014853,0.0044559,0.0014853
53,15379,0.8502,0.41256,0.94055,0.69683,0.78981,0.73576,0.45756,1.30213,0.59987,1.09981,0.0043668,0.0014556,0.0043668,0.0014556,0.0043668,0.0014556,0.0043668,0.0014556
54,15663.8,0.8425,0.40905,0.94,0.69469,0.79013,0.7345,0.45768,1.30213,0.59981,1.0999,0.0042777,0.0014259,0.0042777,0.0014259,0.0042777,0.0014259,0.0042777,0.0014259
55,15948,0.84533,0.40956,0.94072,0.69813,0.78999,0.73326,0.45597,1.30206,0.59955,1.10006,0.0041886,0.0013962,0.0041886,0.0013962,0.0041886,0.0013962,0.0041886,0.0013962
56,16237,0.82746,0.4018,0.93703,0.688,0.79074,0.73513,0.45693,1.30198,0.59905,1.09991,0.00204975,0.00068325,0.00204975,0.00068325,0.00204975,0.00068325,0.00204975,0.00068325
57,16520,0.82793,0.40088,0.93465,0.68164,0.79075,0.73551,0.45744,1.302,0.59816,1.10018,0.0020052,0.0006684,0.0020052,0.0006684,0.0020052,0.0006684,0.0020052,0.0006684
58,16804.5,0.82839,0.39896,0.93505,0.68296,0.79033,0.73624,0.45767,1.3012,0.59815,1.10021,0.00196065,0.00065355,0.00196065,0.00065355,0.00196065,0.00065355,0.00196065,0.00065355
59,17089,0.82313,0.39736,0.93293,0.68132,0.78999,0.73437,0.4566,1.30148,0.59717,1.10034,0.0019161,0.0006387,0.0019161,0.0006387,0.0019161,0.0006387,0.0019161,0.0006387
60,17373.2,0.82295,0.39585,0.93344,0.68724,0.79481,0.73462,0.45648,1.30069,0.59821,1.10034,0.00187155,0.00062385,0.00187155,0.00062385,0.00187155,0.00062385,0.00187155,0.00062385
